random_state,n_features,best_params,accuracy
32,9,"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__min_samples_split': 4, 'n_estimators': 50}",0.8541666666666666
33,9,"{'estimator__criterion': 'gini', 'estimator__max_depth': 7, 'estimator__min_samples_split': 8, 'n_estimators': 100}",0.8541666666666666
36,9,"{'estimator__criterion': 'gini', 'estimator__max_depth': 7, 'estimator__min_samples_split': 2, 'n_estimators': 100}",0.8645833333333334
37,7,"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__min_samples_split': 6, 'n_estimators': 70}",0.8541666666666666
37,9,"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__min_samples_split': 4, 'n_estimators': 150}",0.8541666666666666
37,10,"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__min_samples_split': 4, 'n_estimators': 150}",0.8541666666666666
38,8,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__min_samples_split': 6, 'n_estimators': 100}",0.8541666666666666
39,11,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__min_samples_split': 4, 'n_estimators': 50}",0.8645833333333334
41,7,"{'estimator__criterion': 'gini', 'estimator__max_depth': 10, 'estimator__min_samples_split': 8, 'n_estimators': 150}",0.854166666666666642
42,11,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 7, 'estimator__min_samples_split': 6, 'n_estimators': 50}",0.8541666666666666
