id_student,gender,region,entrance_result,num_of_prev_attempts,studied_credits,disability,final_result
11391,1,0,1,-0.34587261160176874,3.9148820771030013,0,2
28400,0,1,1,-0.34587261160176874,-0.47251610696173535,0,2
30268,0,2,0,-0.34587261160176874,-0.47251610696173535,1,3
31604,0,4,0,-0.34587261160176874,-0.47251610696173535,0,2
32885,0,7,2,-0.34587261160176874,-0.47251610696173535,0,2
38053,1,10,0,-0.34587261160176874,-0.47251610696173535,0,2
45462,1,1,1,-0.34587261160176874,-0.47251610696173535,0,2
45642,0,2,0,-0.34587261160176874,0.9899499543931768,0,2
52130,0,0,0,-0.34587261160176874,0.25871692371572075,0,2
53025,1,3,4,-0.34587261160176874,-0.47251610696173535,0,2
57506,1,7,2,-0.34587261160176874,-0.47251610696173535,0,2
58873,0,0,0,-0.34587261160176874,-0.47251610696173535,0,2
59185,1,0,2,-0.34587261160176874,-0.47251610696173535,0,2
62155,0,2,1,-0.34587261160176874,-0.47251610696173535,0,2
63400,1,1,2,-0.34587261160176874,-0.47251610696173535,0,2
65002,0,0,0,-0.34587261160176874,-0.47251610696173535,0,3
70464,0,7,0,-0.34587261160176874,-0.47251610696173535,0,2
71361,1,9,1,-0.34587261160176874,-0.47251610696173535,0,2
74372,1,0,0,-0.34587261160176874,1.721182985070633,0,1
75091,1,8,0,-0.34587261160176874,-0.47251610696173535,0,2
77367,1,6,0,-0.34587261160176874,-0.47251610696173535,0,2
91265,1,2,1,-0.34587261160176874,-0.47251610696173535,0,2
94961,1,7,2,-0.34587261160176874,-0.47251610696173535,0,3
98094,1,10,2,-0.34587261160176874,-0.47251610696173535,0,2
100893,1,5,0,-0.34587261160176874,-0.47251610696173535,0,2
101781,1,7,2,-0.34587261160176874,-0.47251610696173535,0,2
102806,1,2,0,-0.34587261160176874,-0.47251610696173535,0,2
102952,1,5,1,-0.34587261160176874,-0.47251610696173535,0,2
104476,1,9,4,-0.34587261160176874,-0.47251610696173535,0,2
106247,1,7,1,-0.34587261160176874,-0.47251610696173535,0,3
106577,1,6,2,-0.34587261160176874,-0.47251610696173535,0,2
110175,1,0,1,-0.34587261160176874,-0.47251610696173535,0,2
111717,0,0,1,-0.34587261160176874,-0.47251610696173535,0,2
113295,1,5,2,-0.34587261160176874,-0.47251610696173535,0,2
114017,0,3,4,-0.34587261160176874,-0.47251610696173535,0,2
114999,1,5,1,-0.34587261160176874,-0.47251610696173535,0,2
116541,1,10,1,-0.34587261160176874,-0.47251610696173535,0,2
116692,1,0,0,-0.34587261160176874,-0.47251610696173535,0,2
118983,1,6,1,-0.34587261160176874,0.9899499543931768,0,2
123044,1,7,0,-0.34587261160176874,-0.47251610696173535,0,2
127582,0,6,0,-0.34587261160176874,2.452416015748089,0,2
129955,1,7,0,-0.34587261160176874,-0.47251610696173535,0,3
132976,0,0,2,-0.34587261160176874,0.9899499543931768,0,2
134143,0,4,0,-0.34587261160176874,-0.47251610696173535,0,0
135335,0,0,2,-0.34587261160176874,2.452416015748089,0,3
135400,0,4,2,-0.34587261160176874,-0.47251610696173535,1,3
137873,1,8,0,-0.34587261160176874,-0.47251610696173535,0,2
141355,0,6,0,-0.34587261160176874,3.9148820771030013,0,2
141377,1,8,0,-0.34587261160176874,6.474197684474097,0,3
142326,0,3,0,-0.34587261160176874,-0.47251610696173535,0,2
144801,0,7,1,-0.34587261160176874,-0.47251610696173535,0,2
145130,1,8,1,-0.34587261160176874,0.9899499543931768,0,2
146188,0,7,0,-0.34587261160176874,-0.47251610696173535,1,1
147756,1,3,2,-0.34587261160176874,0.9899499543931768,0,1
147793,0,3,2,-0.34587261160176874,0.25871692371572075,0,3
148993,0,2,0,-0.34587261160176874,-0.47251610696173535,1,3
151358,0,5,0,-0.34587261160176874,1.721182985070633,0,2
155550,1,5,0,-0.34587261160176874,8.302280261167738,0,2
155854,0,6,0,-0.34587261160176874,-0.47251610696173535,0,2
155984,0,0,2,-0.34587261160176874,-0.47251610696173535,0,3
157568,0,8,0,-0.34587261160176874,-0.47251610696173535,0,2
159954,1,6,0,-0.34587261160176874,-0.47251610696173535,0,3
164259,1,1,0,-0.34587261160176874,-0.47251610696173535,0,2
167906,0,5,0,-0.34587261160176874,-0.47251610696173535,0,2
168936,0,7,2,-0.34587261160176874,-0.47251610696173535,0,2
172112,1,9,1,-0.34587261160176874,-0.47251610696173535,0,2
172797,0,9,0,-0.34587261160176874,-0.47251610696173535,0,2
174782,1,0,1,-0.34587261160176874,-0.47251610696173535,0,2
175392,1,3,1,-0.34587261160176874,-0.47251610696173535,0,2
175932,1,2,1,-0.34587261160176874,-0.47251610696173535,0,2
175991,0,2,0,-0.34587261160176874,2.452416015748089,0,1
180753,1,8,0,-0.34587261160176874,0.9899499543931768,0,2
181316,0,8,0,-0.34587261160176874,0.9899499543931768,0,3
183096,0,8,0,-0.34587261160176874,-0.47251610696173535,0,2
183947,1,5,0,-0.34587261160176874,2.452416015748089,0,2
184271,1,8,1,-0.34587261160176874,2.2086716721889372,0,2
185439,1,5,1,-0.34587261160176874,0.9899499543931768,0,1
186149,1,1,1,-0.34587261160176874,-0.47251610696173535,0,2
187100,1,4,0,-0.34587261160176874,-0.47251610696173535,0,0
