"id_student ","gender ","region ","entrance_result ","num_of_prev_attempts ","studied_credits ","disability ","final_result"
"11391","M ","Addis Ababa ","HE Qualification ","0","240","N ","Pass"
"28400","F ","Afar Region","HE Qualification ","0","60","N ","Pass"
"30268","F ","Amhara Region ","A Level or Equivalent","0","60","Y ","Withdrawn"
"31604","F ","Oromia Region ","A Level or Equivalent","0","60","N ","Pass"
"32885","F ","South Region ","Lower Than A Level ","0","60","N ","Pass"
"38053","M ","Tigrai Region ","A Level or Equivalent","0","60","N ","Pass"
"45462","M ","Afar Region","HE Qualification ","0","60","N ","Pass"
"45642","F ","Amhara Region ","A Level or Equivalent","0","120","N ","Pass"
"52130","F ","Addis Ababa ","A Level or Equivalent","0","90","N ","Pass"
"53025","M ","North Region ","Post Graduate Qualification ","0","60","N ","Pass"
"57506","M ","South Region ","Lower Than A Level ","0","60","N ","Pass"
"58873","F ","Addis Ababa ","A Level or Equivalent","0","60","N ","Pass"
"59185","M ","Addis Ababa ","Lower Than A Level ","0","60","N ","Pass"
"62155","F ","Amhara Region ","HE Qualification ","0","60","N ","Pass"
"63400","M ","Afar Region","Lower Than A Level ","0","60","N ","Pass"
"65002","F ","Addis Ababa ","A Level or Equivalent","0","60","N ","Withdrawn"
"70464","F ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"71361","M ","South Western Region ","HE Qualification ","0","60","N ","Pass"
"74372","M ","Addis Ababa ","A Level or Equivalent","0","150","N ","Fail"
"75091","M ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"77367","M ","Somalia Region ","A Level or Equivalent","0","60","N ","Pass"
"91265","M ","Amhara Region ","HE Qualification ","0","60","N ","Pass"
"94961","M ","South Region ","Lower Than A Level ","0","60","N ","Withdrawn"
"98094","M ","Tigrai Region ","Lower Than A Level ","0","60","N ","Pass"
"100893","M ","Sidamo Region ","A Level or Equivalent","0","60","N ","Pass"
"101781","M ","South Region ","Lower Than A Level ","0","60","N ","Pass"
"102806","M ","Amhara Region ","A Level or Equivalent","0","60","N ","Pass"
"102952","M ","Sidamo Region ","HE Qualification ","0","60","N ","Pass"
"104476","M ","South Western Region ","Post Graduate Qualification ","0","60","N ","Pass"
"106247","M ","South Region ","HE Qualification ","0","60","N ","Withdrawn"
"106577","M ","Somalia Region ","Lower Than A Level ","0","60","N ","Pass"
"110175","M ","Addis Ababa ","HE Qualification ","0","60","N ","Pass"
"111717","F ","Addis Ababa ","HE Qualification ","0","60","N ","Pass"
"113295","M ","Sidamo Region ","Lower Than A Level ","0","60","N ","Pass"
"114017","F ","North Region ","Post Graduate Qualification ","0","60","N ","Pass"
"114999","M ","Sidamo Region ","HE Qualification ","0","60","N ","Pass"
"116541","M ","Tigrai Region ","HE Qualification ","0","60","N ","Pass"
"116692","M ","Addis Ababa ","A Level or Equivalent","0","60","N ","Pass"
"118983","M ","Somalia Region ","HE Qualification ","0","120","N ","Pass"
"123044","M ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"127582","F ","Somalia Region ","A Level or Equivalent","0","180","N ","Pass"
"129955","M ","South Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"132976","F ","Addis Ababa ","Lower Than A Level ","0","120","N ","Pass"
"134143","F ","Oromia Region ","A Level or Equivalent","0","60","N ","Distinction"
"135335","F ","Addis Ababa ","Lower Than A Level ","0","180","N ","Withdrawn"
"135400","F ","Oromia Region ","Lower Than A Level ","0","60","Y ","Withdrawn"
"","","","","","","",""
"137873","M ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"141355","F ","Somalia Region ","A Level or Equivalent","0","240","N ","Pass"
"141377","M ","South West Region ","A Level or Equivalent","0","345","N ","Withdrawn"
"142326","F ","North Region ","A Level or Equivalent","0","60","N ","Pass"
"144801","F ","South Region ","HE Qualification ","0","60","N ","Pass"
"145130","M ","South West Region ","HE Qualification ","0","120","N ","Pass"
"146188","F ","South Region ","A Level or Equivalent","0","60","Y ","Fail"
"147756","M ","North Region ","Lower Than A Level ","0","120","N ","Fail"
"147793","F ","North Region ","Lower Than A Level ","0","90","N ","Withdrawn"
"148993","F ","Amhara Region ","A Level or Equivalent","0","60","Y ","Withdrawn"
"151358","F ","Sidamo Region ","A Level or Equivalent","0","150","N ","Pass"
"155550","M ","Sidamo Region ","A Level or Equivalent","0","420","N ","Pass"
"155854","F ","Somalia Region ","A Level or Equivalent","0","60","N ","Pass"
"155984","F ","Addis Ababa ","Lower Than A Level ","0","60","N ","Withdrawn"
"157568","F ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"159954","M ","Somalia Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"164259","M ","Afar Region","A Level or Equivalent","0","60","N ","Pass"
"167906","F ","Sidamo Region ","A Level or Equivalent","0","60","N ","Pass"
"168936","F ","South Region ","Lower Than A Level ","0","60","N ","Pass"
"172112","M ","South Western Region ","HE Qualification ","0","60","N ","Pass"
"172797","F ","South Western Region ","A Level or Equivalent","0","60","N ","Pass"
"174782","M ","Addis Ababa ","HE Qualification ","0","60","N ","Pass"
"175392","M ","North Region ","HE Qualification ","0","60","N ","Pass"
"175932","M ","Amhara Region ","HE Qualification ","0","60","N ","Pass"
"175991","F ","Amhara Region ","A Level or Equivalent","0","180","N ","Fail"
"180753","M ","South West Region ","A Level or Equivalent","0","120","N ","Pass"
"181316","F ","South West Region ","A Level or Equivalent","0","120","N ","Withdrawn"
"183096","F ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"183947","M ","Sidamo Region ","A Level or Equivalent","0","180","N ","Pass"
"184271","M ","South West Region ","HE Qualification ","0","170","N ","Pass"
"185439","M ","Sidamo Region ","HE Qualification ","0","120","N ","Fail"
"186149","M ","Afar Region","HE Qualification ","0","60","N ","Pass"
"187100","M ","Oromia Region ","A Level or Equivalent","0","60","N ","Distinction"
"188278","M ","Sidamo Region ","A Level or Equivalent","0","120","N ","Withdrawn"
"189879","M ","Afar Region","A Level or Equivalent","0","120","N ","Pass"
"192183","F ","South West Region ","Lower Than A Level ","0","60","N ","Pass"
"195262","M ","Sidamo Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"200860","M ","Sidamo Region ","Lower Than A Level ","0","60","N ","Pass"
"202635","F ","Tigrai Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"205350","M ","South West Region ","HE Qualification ","0","60","N ","Pass"
"205719","M ","Addis Ababa ","A Level or Equivalent","0","90","Y ","Fail"
"227499","F ","Sidamo Region ","A Level or Equivalent","0","60","N ","Distinction"
"227517","M ","South Western Region ","HE Qualification ","0","180","N ","Fail"
"228082","M ","Sidamo Region ","HE Qualification ","0","60","N ","Pass"
"228222","M ","Somalia Region ","Lower Than A Level ","0","60","N ","Pass"
"229179","M ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"229361","M ","Somalia Region ","A Level or Equivalent","0","60","N ","Pass"
"","","","","","","",""
"231554","M ","Sidamo Region ","A Level or Equivalent","0","240","N ","Pass"
"235507","M ","Sidamo Region ","A Level or Equivalent","0","240","N ","Withdrawn"
"236284","M ","Afar Region","Post Graduate Qualification ","0","60","N ","Pass"
"238007","M ","South Region ","HE Qualification ","0","60","N ","Pass"
"240712","M ","Sidamo Region ","HE Qualification ","0","80","N ","Pass"
"240884","M ","South Region ","A Level or Equivalent","0","120","N ","Pass"
"241649","M ","Addis Ababa ","HE Qualification ","0","60","N ","Pass"
"241729","F ","Somalia Region ","HE Qualification ","0","60","N ","Fail"
"242793","M ","Sidamo Region ","HE Qualification ","0","60","N ","Pass"
"246834","M ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"248270","M ","Amhara Region ","Lower Than A Level ","0","90","N ","Pass"
"255548","M ","Tigrai Region ","Lower Than A Level ","0","60","N ","Pass"
"256815","M ","Amhara Region ","HE Qualification ","0","120","N ","Pass"
"258392","F ","South Region ","Lower Than A Level ","0","60","N ","Pass"
"258894","F ","Addis Ababa ","Lower Than A Level ","0","60","N ","Pass"
"260355","F ","Sidamo Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"262011","M ","Somalia Region ","A Level or Equivalent","0","60","N ","Pass"
"262934","F ","Amhara Region ","A Level or Equivalent","0","60","N ","Pass"
"268073","M ","Addis Ababa ","A Level or Equivalent","0","90","N ","Fail"
"268733","M ","Addis Ababa ","A Level or Equivalent","0","180","N ","Withdrawn"
"271251","M ","Afar Region","A Level or Equivalent","0","60","N ","Pass"
"277880","F ","Oromia Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"279572","M ","Sidamo Region ","Lower Than A Level ","0","60","N ","Distinction"
"281022","F ","Afar Region","A Level or Equivalent","0","150","N ","Pass"
"281250","M ","Tigrai Region ","Lower Than A Level ","0","60","N ","Fail"
"281589","M ","Amhara Region ","HE Qualification ","0","60","N ","Fail"
"282821","M ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"286488","M ","Oromia Region ","A Level or Equivalent","0","60","N ","Pass"
"287548","M ","Addis Ababa ","A Level or Equivalent","0","120","N ","Pass"
"290201","M ","Tigrai Region ","A Level or Equivalent","0","60","N ","Pass"
"290757","M ","Amhara Region ","A Level or Equivalent","0","60","N ","Pass"
"291334","M ","Oromia Region ","A Level or Equivalent","0","60","N ","Distinction"
"292923","F ","Oromia Region ","A Level or Equivalent","0","180","N ","Withdrawn"
"293699","M ","Somalia Region ","A Level or Equivalent","0","120","N ","Pass"
"294570","M ","Oromia Region ","HE Qualification ","0","60","N ","Pass"
"294594","M ","Oromia Region ","A Level or Equivalent","0","60","N ","Pass"
"295741","M ","Oromia Region ","A Level or Equivalent","0","240","N ","Fail"
"296332","M ","South Region ","Post Graduate Qualification ","0","60","N ","Distinction"
"298696","F ","Oromia Region ","HE Qualification ","0","60","N ","Pass"
"300398","M ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"302302","F ","Addis Ababa ","A Level or Equivalent","0","60","N ","Fail"
"305152","M ","Amhara Region ","A Level or Equivalent","0","60","N ","Fail"
"305386","M ","South Region ","A Level or Equivalent","0","120","Y ","Pass"
"305539","F ","Tigrai Region ","Lower Than A Level ","0","120","N ","Withdrawn"
"306107","M ","South Region ","A Level or Equivalent","0","120","N ","Pass"
"306466","M ","Addis Ababa ","A Level or Equivalent","0","60","N ","Pass"
"306897","F ","Sidamo Region ","A Level or Equivalent","0","60","N ","Pass"
"","","","","","","",""
"307061","F ","Somalia Region ","HE Qualification ","0","60","N ","Pass"
"307866","M ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"311917","M ","South West Region ","A Level or Equivalent","0","120","N ","Pass"
"312537","M ","South Region ","Post Graduate Qualification ","0","60","N ","Distinction"
"312782","M ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"318933","F ","Addis Ababa ","HE Qualification ","0","120","N ","Pass"
"319047","F ","Somalia Region ","A Level or Equivalent","0","60","N ","Pass"
"321942","M ","South Region ","HE Qualification ","0","60","N ","Pass"
"324002","M ","Addis Ababa ","HE Qualification ","0","60","N ","Pass"
"324084","F ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"324282","M ","Oromia Region ","A Level or Equivalent","0","120","N ","Pass"
"331358","F ","South Region ","HE Qualification ","0","60","N ","Withdrawn"
"332789","F ","Addis Ababa ","A Level or Equivalent","0","60","N ","Pass"
"333059","M ","Afar Region","A Level or Equivalent","0","120","N ","Pass"
"333323","M ","Afar Region","HE Qualification ","0","60","N ","Pass"
"334259","F ","Sidamo Region ","A Level or Equivalent","0","150","N ","Fail"
"334333","F ","South West Region ","A Level or Equivalent","0","240","Y ","Withdrawn"
"335764","F ","Oromia Region ","A Level or Equivalent","0","60","N ","Withdrawn"
"336207","M ","Addis Ababa ","A Level or Equivalent","0","120","N ","Pass"
"339972","M ","North Region ","A Level or Equivalent","0","60","N ","Pass"
"341872","M ","Addis Ababa ","Lower Than A Level ","0","180","N ","Fail"
"342007","F ","South Region ","HE Qualification ","0","60","N ","Withdrawn"
"342514","M ","Afar Region","Lower Than A Level ","0","60","N ","Pass"
"342972","M ","Sidamo Region ","HE Qualification ","0","60","N ","Pass"
"343446","M ","South Western Region ","HE Qualification ","0","120","N ","Pass"
"344282","M ","Sidamo Region ","A Level or Equivalent","0","60","N ","Fail"
"345068","M ","Addis Ababa ","A Level or Equivalent","0","180","Y ","Pass"
"345357","M ","Sidamo Region ","A Level or Equivalent","0","60","N ","Distinction"
"346025","M ","Addis Ababa ","A Level or Equivalent","0","120","N ","Pass"
"346843","F ","Afar Region","HE Qualification ","0","120","N ","Fail"
"350188","M ","Amhara Region ","HE Qualification ","0","60","N ","Pass"
"354858","M ","South Region ","HE Qualification ","0","120","N ","Withdrawn"
"357668","M ","Sidamo Region ","A Level or Equivalent","0","60","N ","Fail"
"364177","M ","Addis Ababa ","Lower Than A Level ","0","60","N ","Fail"
"365244","F ","Sidamo Region ","A Level or Equivalent","0","120","N ","Pass"
"365642","M ","Addis Ababa ","Lower Than A Level ","0","60","N ","Pass"
"366483","M ","South West Region ","HE Qualification ","0","60","N ","Pass"
"368194","F ","South West Region ","A Level or Equivalent","0","120","Y ","Pass"
"368824","M ","Tigrai Region ","HE Qualification ","0","120","N ","Fail"
"368963","M ","Sidamo Region ","Lower Than A Level ","0","180","N ","Pass"
"376439","M ","North Region ","HE Qualification ","0","60","N ","Distinction"
"376581","F ","South Region ","A Level or Equivalent","0","60","N ","Pass"
"380953","M ","Somalia Region ","A Level or Equivalent","0","60","N ","Pass"
"383254","M ","Sidamo Region ","A Level or Equivalent","0","120","N ","Pass"
"386924","M ","South Western Region ","Lower Than A Level ","0","120","N ","Pass"
"386952","M ","Sidamo Region ","A Level or Equivalent","0","120","N ","Pass"
"388722","F ","Sidamo Region ","Lower Than A Level ","0","60","N ","Pass"
"","","","","","","",""
"388885","M ","South West Region ","A Level or Equivalent","0","60","N ","Pass"
"390890","M ","Afar Region","A Level or Equivalent","0","90","N ","Withdrawn"
"392756","M ","South Region ","A Level or Equivalent","0","120","N ","Fail"
"392931","F ","Amhara Region ","A Level or Equivalent","0","120","N ","Pass"
"393207","M ","Amhara Region ","A Level or Equivalent","0","60","N ","Pass"
"396872","M ","Sidamo Region ","HE Qualification ","0","180","N ","Pass"
"398552","M ","Sidamo Region ","Lower Than A Level ","0","240","N ","Fail"
"401869","F ","Oromia Region ","Lower Than A Level ","0","60","N ","Pass"
"402470","M ","South West Region ","Lower Than A Level ","0","60","N ","Pass"
"404804","M ","Tigrai Region ","Lower Than A Level ","0","120","N ","Pass"
"405088","M ","North Region ","A Level or Equivalent","0","120","N ","Pass"
"405961","M ","Afar Region","A Level or Equivalent","0","240","Y ","Withdrawn"
"414117","M ","Sidamo Region ","A Level or Equivalent","0","120","N ","Pass"
"415969","M ","South Region ","HE Qualification ","0","90","N ","Withdrawn"
"420087","M ","Afar Region","A Level or Equivalent","0","60","Y ","Fail"
"429958","F ","Amhara Region ","A Level or Equivalent","0","60","N ","Pass"
"441018","F ","Oromia Region ","A Level or Equivalent","0","150","N ","Pass"
