id_student,gender,region,entrance_result,num_of_prev_attempts,studied_credits,disability,final_result
11391.0,M,Addis Ababa,HE Qualification,0.0,240.0,N,Pass
28400.0,F,Afar Region,HE Qualification,0.0,60.0,N,Pass
30268.0,F,Amhara Region,A Level or Equivalent,0.0,60.0,Y,Withdrawn
31604.0,F,Oromia Region,A Level or Equivalent,0.0,60.0,N,Pass
32885.0,F,South Region,Lower Than A Level,0.0,60.0,N,Pass
38053.0,M,Tigrai Region,A Level or Equivalent,0.0,60.0,N,Pass
45462.0,M,Afar Region,HE Qualification,0.0,60.0,N,Pass
45642.0,F,Amhara Region,A Level or Equivalent,0.0,120.0,N,Pass
52130.0,F,Addis Ababa,A Level or Equivalent,0.0,90.0,N,Pass
53025.0,M,North Region,Post Graduate Qualification,0.0,60.0,N,Pass
57506.0,M,South Region,Lower Than A Level,0.0,60.0,N,Pass
58873.0,F,Addis Ababa,A Level or Equivalent,0.0,60.0,N,Pass
59185.0,M,Addis Ababa,Lower Than A Level,0.0,60.0,N,Pass
62155.0,F,Amhara Region,HE Qualification,0.0,60.0,N,Pass
63400.0,M,Afar Region,Lower Than A Level,0.0,60.0,N,Pass
65002.0,F,Addis Ababa,A Level or Equivalent,0.0,60.0,N,Withdrawn
70464.0,F,South Region,A Level or Equivalent,0.0,60.0,N,Pass
71361.0,M,South Western Region,HE Qualification,0.0,60.0,N,Pass
74372.0,M,Addis Ababa,A Level or Equivalent,0.0,150.0,N,Fail
75091.0,M,South West Region,A Level or Equivalent,0.0,60.0,N,Pass
77367.0,M,Somalia Region,A Level or Equivalent,0.0,60.0,N,Pass
91265.0,M,Amhara Region,HE Qualification,0.0,60.0,N,Pass
94961.0,M,South Region,Lower Than A Level,0.0,60.0,N,Withdrawn
98094.0,M,Tigrai Region,Lower Than A Level,0.0,60.0,N,Pass
100893.0,M,Sidamo Region,A Level or Equivalent,0.0,60.0,N,Pass
101781.0,M,South Region,Lower Than A Level,0.0,60.0,N,Pass
102806.0,M,Amhara Region,A Level or Equivalent,0.0,60.0,N,Pass
102952.0,M,Sidamo Region,HE Qualification,0.0,60.0,N,Pass
104476.0,M,South Western Region,Post Graduate Qualification,0.0,60.0,N,Pass
106247.0,M,South Region,HE Qualification,0.0,60.0,N,Withdrawn
106577.0,M,Somalia Region,Lower Than A Level,0.0,60.0,N,Pass
110175.0,M,Addis Ababa,HE Qualification,0.0,60.0,N,Pass
111717.0,F,Addis Ababa,HE Qualification,0.0,60.0,N,Pass
113295.0,M,Sidamo Region,Lower Than A Level,0.0,60.0,N,Pass
114017.0,F,North Region,Post Graduate Qualification,0.0,60.0,N,Pass
114999.0,M,Sidamo Region,HE Qualification,0.0,60.0,N,Pass
