id_student,gender,region,entrance_result,num_of_prev_attempts,studied_credits,disability,final_result,cluster,cluster_label
11391.0,M,Addis Ababa,HE Qualification,0.0,240.0,N,Pass,1,B
28400.0,F,Afar Region,HE Qualification,0.0,60.0,N,Pass,2,C
30268.0,F,Amhara Region,A Level or Equivalent,0.0,60.0,Y,Withdrawn,2,C
31604.0,F,Oromia Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
32885.0,F,South Region,Lower Than A Level,0.0,60.0,N,Pass,2,C
38053.0,M,Tigrai Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
45462.0,M,Afar Region,HE Qualification,0.0,60.0,N,Pass,1,B
45642.0,F,Amhara Region,A Level or Equivalent,0.0,120.0,N,Pass,2,C
52130.0,F,Addis Ababa,A Level or Equivalent,0.0,90.0,N,Pass,2,C
53025.0,M,North Region,Post Graduate Qualification,0.0,60.0,N,Pass,1,B
57506.0,M,South Region,Lower Than A Level,0.0,60.0,N,Pass,1,B
58873.0,F,Addis Ababa,A Level or Equivalent,0.0,60.0,N,Pass,2,C
59185.0,M,Addis Ababa,Lower Than A Level,0.0,60.0,N,Pass,1,B
62155.0,F,Amhara Region,HE Qualification,0.0,60.0,N,Pass,2,C
63400.0,M,Afar Region,Lower Than A Level,0.0,60.0,N,Pass,1,B
65002.0,F,Addis Ababa,A Level or Equivalent,0.0,60.0,N,Withdrawn,2,C
70464.0,F,South Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
71361.0,M,South Western Region,HE Qualification,0.0,60.0,N,Pass,1,B
74372.0,M,Addis Ababa,A Level or Equivalent,0.0,150.0,N,Fail,1,B
75091.0,M,South West Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
77367.0,M,Somalia Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
91265.0,M,Amhara Region,HE Qualification,0.0,60.0,N,Pass,1,B
94961.0,M,South Region,Lower Than A Level,0.0,60.0,N,Withdrawn,1,B
98094.0,M,Tigrai Region,Lower Than A Level,0.0,60.0,N,Pass,1,B
100893.0,M,Sidamo Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
101781.0,M,South Region,Lower Than A Level,0.0,60.0,N,Pass,1,B
102806.0,M,Amhara Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
102952.0,M,Sidamo Region,HE Qualification,0.0,60.0,N,Pass,1,B
104476.0,M,South Western Region,Post Graduate Qualification,0.0,60.0,N,Pass,1,B
106247.0,M,South Region,HE Qualification,0.0,60.0,N,Withdrawn,1,B
106577.0,M,Somalia Region,Lower Than A Level,0.0,60.0,N,Pass,1,B
110175.0,M,Addis Ababa,HE Qualification,0.0,60.0,N,Pass,1,B
111717.0,F,Addis Ababa,HE Qualification,0.0,60.0,N,Pass,2,C
113295.0,M,Sidamo Region,Lower Than A Level,0.0,60.0,N,Pass,1,B
114017.0,F,North Region,Post Graduate Qualification,0.0,60.0,N,Pass,2,C
114999.0,M,Sidamo Region,HE Qualification,0.0,60.0,N,Pass,1,B
116541.0,M,Tigrai Region,HE Qualification,0.0,60.0,N,Pass,1,B
116692.0,M,Addis Ababa,A Level or Equivalent,0.0,60.0,N,Pass,1,B
118983.0,M,Somalia Region,HE Qualification,0.0,120.0,N,Pass,1,B
123044.0,M,South Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
127582.0,F,Somalia Region,A Level or Equivalent,0.0,180.0,N,Pass,2,C
129955.0,M,South Region,A Level or Equivalent,0.0,60.0,N,Withdrawn,1,B
132976.0,F,Addis Ababa,Lower Than A Level,0.0,120.0,N,Pass,2,C
134143.0,F,Oromia Region,A Level or Equivalent,0.0,60.0,N,Distinction,2,C
135335.0,F,Addis Ababa,Lower Than A Level,0.0,180.0,N,Withdrawn,2,C
135400.0,F,Oromia Region,Lower Than A Level,0.0,60.0,Y,Withdrawn,2,C
137873.0,M,South West Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
141355.0,F,Somalia Region,A Level or Equivalent,0.0,240.0,N,Pass,2,C
141377.0,M,South West Region,A Level or Equivalent,0.0,345.0,N,Withdrawn,1,B
142326.0,F,North Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
144801.0,F,South Region,HE Qualification,0.0,60.0,N,Pass,2,C
145130.0,M,South West Region,HE Qualification,0.0,120.0,N,Pass,1,B
146188.0,F,South Region,A Level or Equivalent,0.0,60.0,Y,Fail,2,C
147756.0,M,North Region,Lower Than A Level,0.0,120.0,N,Fail,1,B
147793.0,F,North Region,Lower Than A Level,0.0,90.0,N,Withdrawn,2,C
148993.0,F,Amhara Region,A Level or Equivalent,0.0,60.0,Y,Withdrawn,2,C
151358.0,F,Sidamo Region,A Level or Equivalent,0.0,150.0,N,Pass,2,C
155550.0,M,Sidamo Region,A Level or Equivalent,0.0,420.0,N,Pass,0,A
155854.0,F,Somalia Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
155984.0,F,Addis Ababa,Lower Than A Level,0.0,60.0,N,Withdrawn,2,C
157568.0,F,South West Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
159954.0,M,Somalia Region,A Level or Equivalent,0.0,60.0,N,Withdrawn,1,B
164259.0,M,Afar Region,A Level or Equivalent,0.0,60.0,N,Pass,1,B
167906.0,F,Sidamo Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
168936.0,F,South Region,Lower Than A Level,0.0,60.0,N,Pass,2,C
172112.0,M,South Western Region,HE Qualification,0.0,60.0,N,Pass,1,B
172797.0,F,South Western Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
174782.0,M,Addis Ababa,HE Qualification,0.0,60.0,N,Pass,1,B
175392.0,M,North Region,HE Qualification,0.0,60.0,N,Pass,1,B
175932.0,M,Amhara Region,HE Qualification,0.0,60.0,N,Pass,1,B
175991.0,F,Amhara Region,A Level or Equivalent,0.0,180.0,N,Fail,2,C
180753.0,M,South West Region,A Level or Equivalent,0.0,120.0,N,Pass,1,B
181316.0,F,South West Region,A Level or Equivalent,0.0,120.0,N,Withdrawn,2,C
183096.0,F,South West Region,A Level or Equivalent,0.0,60.0,N,Pass,2,C
183947.0,M,Sidamo Region,A Level or Equivalent,0.0,180.0,N,Pass,1,B
184271.0,M,South West Region,HE Qualification,0.0,170.0,N,Pass,1,B
185439.0,M,Sidamo Region,HE Qualification,0.0,120.0,N,Fail,1,B
